STATE,NAME,ADDRESS,TELEPHONE NO
JOHOR,PUSAT JAGAAN PERSATUAN PENJAGAAN KANAK-KANAK TERENCAT AKAL JOHOR BAHRU(OKU-BERKEDIAMAN)-NGO,"LOT.5042 JALAN INDAH PERMAI 9,TAMAN SALENG INDAH,SENAI,81400 JOHOR","07-5989676,012-7761465"
JOHOR,PUSAT JAGAAN PERSATUAN KANAK-KANAK SPASTIK JOHOR(OKU-HARIAN)NGO,"NO. 138,JALAN DATO MENTERI, JOHOR BHARU,80100 , JOHOR",07-2235452
JOHOR,PERSATUAN BAGI KANAK-KANAK KERENCAT AKAL JOHOR(OKU-HARIAN)NGO,"LOT 17882, JALAN GERTAK MERAH, JOHOR BAHRU, 80000 , JOHOR",07-2247243
JOHOR,PJ PERTUBUHAN PERKHIDMATAN INTERVENSI AWAL BAGI KANAK-KANAK KURANG UPAYA DAERAH BATU PAHAT,"NO. 29-35, JALA N SUSUR PERDANA UTAMA TAMAN BUKIT PERDANA,83400 BATU PAHAT, JOHOR",019-7740205
JOHOR,PERSATUAN KANAK-KANAK TERENCAT AKAL JOHOR,"LOT 5042, JALAN INDAH PERMAI 9 TAMAN SALENG INDAH,81000 KULAI, JOHOR",07-5989676/77
JOHOR,PERSATUAN BAGI KANAK-KANAK KERENCATAN AKAL JOHOR,"LOT 17882,JALAN GERTAK MERAH,JOHOR BAHRU, 80000 JOHOR",07-2247243
JOHOR,PUSAT JAGAAN KANAK-KANAK ISTIMEWA (KIWANIS) ,"NO 5 JALAN KIAMBANG, TAMAN MUTIARA,JLN SG ABONG, 84000 MUAR, JOHOR",013-6314434
JOHOR,PUSAT JAGAAN PERTUBUHAN PERKHIDMATAN INTERVENSI AWAL BAGI KANAK-KANAK KURANG UPAYA DAERAH BATU PAHAT,"NO. 29-35, JALAN SUSUR PERDANA UTAMA,TAMAN BUKIT PERDANA,83000 BATU PAHAT, JOHOR",NA
KEDAH,PUSAT JAGAAN PERSATUAN KANAK-KANAK KHAS SUNGAI PETANI,"P.O.BOX 20, LORONG 3,TAMAN NURI, SUNGAI PETANI,08000 KUALA MUDA, KEDAH",04-4214061 / 012-5824733
KEDAH,PUSAT JAGAAN PERSATUAN BANTUAN PENDIDIKAN KANAK-KANAK KHAS,"NO. 20, LORONG 31,TAMAN PATANI JAYA, SUNGAI PETANI, 08000 KUALA MUDA, KEDAH",04-4255423
KEDAH,PUSAT JAGAAN KANAK-KANAK INTEVENSI AWALAN NASOM,"LOT 517, SIMPANG EMPAT PEKAN LUNAS,LUNAS 09600 KULIM, KEDAH",019-4589612/04-4841477
KELANTAN,PUSAT ASUHAN HARIAN KANAK-KANAK SPASTIK,"LOT 306, JLN PADANG TEMBAK TAMAN KEMUMIN, 16100 KOTA BHARU,KELANTAN",09-7746118
MELAKA,PUSAT JAGAAN KANAK-KANAK TERENCAT AKAL JOHOR,"5315-C, JALAN PENGHULU ABBAS, BUKIT BARU,75150 MELAKA TENGAH, MELAKA",019-7888224
MELAKA,PUSAT KANAK-KANAK TERENCAT AKAL BAHAGIA,"NO. 4803-C, TAMAN ANGGERIK,KLEBANG KECIL,75200 MELAKA TENGAH, MELAKA",06-3364561 / 06-3358487 / 0111-6319799 / 012-6129807
N.SEMBILAN,PUSAT JAGAAN HARIAN KANAK-KANAK ISTIMEWA PN. SERI HJH HAZIZAH HJ TUMIN,"NO. 4599, JALAN DATO’ ABDULLAH,70300 SEREMBAN, NEGERI SEMBILAN",06-7616538
N.SEMBILAN,PUSAT JAGAAN DAN LATIHAN KANAK-KANAK KEPERLUAN KHAS LOUIS,"1908, TAMAN UJONG,JALAN TOK UNGKU,70100 SEREMBAN, NEGERI SEMBILAN",06-6303708/012-3051427
N.SEMBILAN,PUSAT JAGAAN KANAK-KANAK ISTIMEWA SINAR BAKTI,"NO. 2045, JALAN JAMBU 5, TAMAN RASAH, 70300 SEREMBAN, NEGERI SEMBILAN",012-9360609
N.SEMBILAN,PUSAT JAGAAN KANAK-KANAK CERDIK RAYYAN ,"NO. 17, JALAN RK5/14, RASAH KEMAYAN, 70300 SEREMBAN, NEGERI SEMBILAN",019-6115813/06-6011542
P.PINANG,PUSAT KANAK-KANAK ISTIMEWA PULAU PINANG,"NO. 24-B, JALAN GROVE,10250 TIMUR LAUT, PULAU PINANG",NA
P.PINANG,SEKOLAH KANAK-KANAK TERENCAT AKAL,"626 JALAN DATO KERAMAT,10460 TIMUR LAUT, PULAU PINANG",04-2263325
P.PINANG,PERSATUAN UNTUK KANAK-KANAK TERENCAT AKAL SEBERANG PERAI UTARA BUTTERWORTH,"7067 JLN MAK MANDIN, BUTTERWORTH, 13400 SEBERANG PERAI UTARA, PULAU PINANG",04-3236493
P.PINANG,PUSAT JAGAAN PERSATUAN KANAK-KANAK (SPASTIK) PULAU PINANG,"425 JALAN MASJID NEGERI, 11600 TIMUR LAUT, PULAU PINANG",012-4381328
PAHANG,PUSAT JAGAAN KANAK-KANAK TERENCAT AKAL JOHOR,"NO. 4784, JALAN TENGKU MUHAMAD, ALOR AKAR,25050 KUANTAN, PAHANG",019-7304779
PERAK,PUSAT HARIAN KANAK-KANAK SPASTIK,"K18, JALAN BENDAHARA,KWAN YOH YUEN,IPOH,31650 KINTA, PERAK","05-3233900, 019-5642833"
PERAK,RUMAH KEBAJIKAN KANAK-KANAK CACAT NEGERI PERAK,"JKR 511, LORONG AMAN,BATU GAJAH,31000 KINTA, PERAK","013-5201402, 05-3656197"
PERAK,"PERTUBUHAN JAGAAN KANAK-KANAK CACAT SETIA, IPOH","17, LORONG SILIBIN,TAMAN GRAND SILIBIN,IPOH,30100 KINTA, PERAK","012-5232257, 05-5270355"
PERAK,"PERTUBUHAN KEBAJIKAN KANAK-KANAK CACAT IPOH, PERAK","NO. 108, JALAN HAJI EUSOFF, HOUSING TRUST, IPOH, 30250 KINTA, PERAK",012-3908666
SARAWAK,"PERSATUAN BAGI KEBAJIKAN KANAK-KANAK TERENCAT AKAL, SARAWAK (PERKATA)","LOT 1652, BLOCK 10 JALAN ONG TIANG SWEE,93594 KUCHING, SARAWAK",082-426301
SELANGOR,PUSAT JAGAAN PERSATUAN PENJAGAAN & LATIHAN KANAK-KANAK AUTISTIK WPKL DAN SELANGOR,"23-25, JALAN SM12, PJS 3/47,TAMAN SRI MANJA, BATU 6 3/4,OFF JALAN KLANG LAMA,46000 PETALING, SELANGOR",016-6728332
SELANGOR,PUSAT JAGAAN KANAK-KANAK DOWN SYNDROME DAN HYPER ACTIVE,"NO. 43, LORONG BATU NILAN 17K,JALAN BATU NILAM, BANDAR BUKIT TINGGI,41200 KLANG, SELANGOR",0333232666 / 0137712825
SELANGOR,PUSAT JAGAAN DAN PENDIDIKAN ISLAM KANAK-KANAK KELAINAN UPAYA MALAYSIA,"NO. 1A, JALAN 6, TAMAN BATU,68100 GOMBAK, SELANGOR",011-15421331
SELANGOR,PERSATUAN KANAK-KANAK ISTIMEWA KAJANG SELANGOR,"NO. 17, JALAN SEKSYEN 2/14,TAMAN KAJANG UTAMA,KAJANG,43000 HULU LANGAT, SELANGOR",03-87366385
SELANGOR,PUSAT JAGAAN PERSATUAN KANAK - KANAK SPASTIK SELANGOR & WILAYAH PERSEKUTUAN,"NO. 14, LORONG UTARA A,P.O BOX 48, 46700 PETALING, SELANGOR",03-79550296
SELANGOR,PUSAT JAGAAN PERSATUAN KANAK-KANAK ISTIMEWA KAJANG SELANGOR ,"NO. 1, JALAN SRI HANECO 4/1,TAMAN SRI HANECO,SEMENYIH,43500 , SELANGOR",03-87366385
SELANGOR,PUSAT JAGAAN PERSATUAN PENJAGAAN KANAK-KANAK TERENCAT AKAL NEGERI SELANGOR,"LOT 1648, JALAN ANGKASA,BANDAR MAHKOTA BANTING,BANTING,42700 KUALA LANGAT, SELANGOR",012-7761465
SELANGOR,PUSAT JAGAAN KANAK-KANAK CACAT TAMAN MEGAH PETALING JAYA SELANGOR,"NO 31, JALAN SS 3/39,TAMAN UNIVERSITI,47301 PETALING, SELANGOR",03-78061143
SELANGOR,PUSAT JAGAAN PERSATUAN KANAK-KANAK ISTIMEWA HULU LANGAT ,"NO. 43, & 45, JALAN KOOP CEUPACS 4,TAMAN CEUPACS, BATU 8,CHERAS,43200 HULU LANGAT, SELANGOR",03-90761172 / 03-90815625
SELANGOR,PUSAT JAGAAN KANAK-KANAK ISTIMEWA ROZITA,"NO. 22, JALAN CJ/G,TAMAN CHERAS JAYA,CHERAS,43200 , SELANGOR",016-3676408
SELANGOR,PUSAT JAGAAN AN-NAJA' EDUCARE CENTRE,"NO. 1, JALAN WAU 7, 11/16, SEKSYEN 11,40100 SHAH ALAM, SELANGOR",03-55133207
SELANGOR,PUSAT JAGAAN DAN PENDIDIKAN ISLAM KANAK-KANAK KELAINAN UPAYA MALAYSIA ,"NO. 1A, JALAN 6, TAMAN BATU, 68100 GOMBAK, SELANGOR",011-15421331
SELANGOR,PUSAT JAGAAN KANAK-KANAK BLISS KIDS,"NO. 1, JALAN METRO 1/2, TAMAN METRO PUCHONG, 47180 PUCHONG, SELANGOR",018-2422926
SELANGOR,PUSAT JAGAAN KANAK - KANAK SARAH VIRA,"NO. 2, JALAN DU 1/4, TAMAN DAMAI UTAMA, 47180 PUCHONG, SELANGOR",012-2986960
SELANGOR,PUSAT JAGAAN KANAK - KANAK DOWN SYNDROME DAN HYPER ACTIVE,"NO. 43, LORONG BATU NILAM 17K, JALAN BATU NILAM, BANDAR BUKIT TINGGI 2, 41200 KLANG, SELANGOR DARUL EHSAN",019-7058797
TERENGANU,PUSAT JAGAAN KANAK-KANAK TERENCAT AKAL KUALA TERENGGANU,"160 JALAN 12,TAMAN PADANG MIDIN,KUALA TERENGGANU,21400 KUALA TERENGGANU, TERENGGANU",09-6243273 / 012-7761465
K.LUMPUR,KANAK-KANAK ISTIMEWA INSAN,"NO.624, JALAN RIANG 6, TAMAN GEMBIRA,58200 , KUALA LUMPUR",03-79824502
K.LUMPUR,PUSAT JAGAAN KANAK-KANAK ISTIMEWA SRI EDEN,"NO. 43, JALAN TIRAM,TAMAN MUTIARA, CHERAS,56000 KUALA LUMPUR",03-91308081
